FUNCIÓN_DENOMINACIÓN,TIPO_URG,CENTRO_GESTOR,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12,EJERCIDO_ENERO_AGOSTO
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN CUAUHTÉMOC,,,,,,,,,,,,,"17,037,170"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN GUSTAVO A. MADERO,,,,,,,,,,,,,"103,638"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN IZTACALCO,,,,,,,,,,,,,"2,498,730"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN IZTAPALAPA,,,,,,,,,,,,,"133,336"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN LA MAGDALENA CONTRERAS,,,,,,,,,,,,,"9,752,116"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN MIGUEL HIDALGO,,,,,,,,,,,,,"13,061,112"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN MILPA ALTA,,,,,,,,,,,,,"4,054,435"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN TLÁHUAC,,,,,,,,,,,,,"802,176"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN TLALPAN,,,,,,,,,,,,,"135,655,854"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN VENUSTIANO CARRANZA,,,,,,,,,,,,,"24,250,543"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN XOCHIMILCO,,,,,,,,,,,,,"14,306,398"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DEPENDENCIAS,SECRETARÍA DE DESARROLLO ECONÓMICO DEL DISTRITO FEDERAL,,,,,,,,,,,,,"179,988,576"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DEPENDENCIAS,SECRETARÍA DE GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,"22,142,563"
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DEPENDENCIAS,SECRETARÍA DEL TRABAJO Y FOMENTO AL EMPLEO DEL DISTRITO FEDERAL,,,,,,,,,,,,,"23,266,527"
